"","date","Month","Year","site","final_plant_name","total_flowers","waypoint","height","hummingbird","comment","lon","lat","ele","time","timestamp"
"1","13/03/2018","March","2018","Alaspungo_disturbed","Disterigma noyesiae",14,"378","3","Metallura tyrianthina",NA,-78.607827,-0.012773,"3035.140625","2018-03-13T13:06:58Z",2018-03-13 13:06:58
"2","13/03/2018","March","2018","Alaspungo_disturbed","Passiflora coactilis",2,"384","3","Metallura tyrianthina",NA,-78.608478,-0.012336,"3035.684082","2018-03-13T13:38:18Z",2018-03-13 13:38:18
"3","07/05/2018","May","2018","Alaspungo_disturbed","Fuchsia sylvatica",10,"741","1","Coeligena lutetiae",NA,NA,NA,NA,NA,NA
"4","09/07/2018","July","2018","Alaspungo_disturbed","Palicourea amethystina",32,"29","3","Eriocnemis luciani",NA,NA,NA,NA,NA,NA
"5","09/07/2018","July","2018","Alaspungo_disturbed","Palicourea amethystina",7,"39","3","Coeligena lutetiae",NA,NA,NA,NA,NA,NA
"6","09/07/2018","July","2018","Alaspungo_disturbed","Racinaea tetrantha",12,"42","4","Metallura tyrianthina",NA,NA,NA,NA,NA,NA
"7","09/07/2018","July","2018","Alaspungo_disturbed","Palicourea amethystina",8,"55","2","Metallura tyrianthina",NA,NA,NA,NA,NA,NA
"8","10/09/2018","September","2018","Alaspungo_disturbed","Burmeistera resupinata",2,"186","3","Coeligena lutetiae","PHOTO",NA,NA,NA,NA,NA
"9","10/09/2018","September","2018","Alaspungo_disturbed","Palicourea amethystina",4,"215","2","Metallura tyrianthina","PHOTO",NA,NA,NA,NA,NA
"10","10/09/2018","September","2018","Alaspungo_disturbed","Bomarea patacocensis",48,"234","4","Metallura tyrianthina",NA,NA,NA,NA,NA,NA
"11","05/11/2018","November","2018","Alaspungo_disturbed","Burmeistera resupinata",8,"609","4","Coeligena lutetiae",NA,NA,NA,NA,NA,NA
"12","05/11/2018","November","2018","Alaspungo_disturbed","Bomarea patacocensis",35,"637","4","Coeligena lutetiae",NA,NA,NA,NA,NA,NA
"13","05/11/2018","November","2018","Alaspungo_disturbed","Bomarea patacocensis",36,"665","3","Coeligena torquata",NA,NA,NA,NA,NA,NA
"14","16/01/2018","January","2018","Alaspungo","Elleanthus amethystinus",30,"2189","7","Heliangelus strophianus","male",-78.630086,-0.000501,"2889.441","2018-01-16T15:36:32Z",2018-01-16 15:36:32
"15","16/01/2018","January","2018","Alaspungo","Elleanthus amethystinus",4,"2191","7","Metallura tyrianthina","female",-78.630014,-0.00032,"2884.914","2018-01-16T15:45:51Z",2018-01-16 15:45:51
"16","43254",NA,NA,"Amagusa","Cavendishia venosa",5,"236","3","Ocreatus underwoodii",NA,NA,NA,NA,NA,NA
"17","15/02/2017","February","2017","Cambugan","Aphelandra acanthus",1,"314","2","Adelomyia melanogenys",NA,NA,NA,NA,NA,NA
"18","15/02/2017","February","2017","Cambugan","Columnea strigosa",65,"367","2","Coeligena torquata",NA,NA,NA,NA,NA,NA
"19","11/05/2017","May","2017","LasGralarias","Palicourea asplundii",40,"539","1","Phaethornis syrmatophorus",NA,-78.732417,-0.011546,"2013.997","2017-05-11T13:46:13Z",2017-05-11 13:46:13
"20","11/05/2017","May","2017","LasGralarias","Palicourea anderssoniana",26,"553","2","Phaethornis syrmatophorus",NA,-78.733304,-0.010928,"2054.494","2017-05-11T15:00:18Z",2017-05-11 15:00:18
"21","11/05/2017","May","2017","LasGralarias","Palicourea anderssoniana",3,"556","2","Aglaiocercus coelestis",NA,-78.733624,-0.010942,"2055.232","2017-05-11T15:16:51Z",2017-05-11 15:16:51
"22","13/11/2017","November","2017","LasGralarias","Gasteranthus glaber",5,"1923","1.5","Heliodoxa rubinoides",NA,-78.733238,-0.010943,"2048.235840","2017-11-13T14:09:08Z",2017-11-13 14:09:08
"23","13/11/2017","November","2017","LasGralarias","Psammisia ecuadorensis",20,"1932","3","Heliodoxa rubinoides",NA,-78.734417,-0.010206,"2042.366943","2017-11-13T14:43:11Z",2017-11-13 14:43:11
"24","13/11/2017","November","2017","LasGralarias","Gasteranthus ternatus",2,"1951","1","Heliodoxa rubinoides",NA,-78.735754,-0.007387,"1934.155396","2017-11-13T15:36:40Z",2017-11-13 15:36:40
"25","16/03/2017","March","2017","LasGralarias","Gasteranthus lateralis",NA,"11",NA,"Heliodoxa rubinoides",NA,-78.732777,-0.011094,"2054.019","2017-03-16T12:32:42Z",2017-03-16 12:32:42
"26","16/03/2017","March","2017","LasGralarias","Gasteranthus lateralis",2,"12","2","Aglaiocercus coelestis",NA,-78.73297,-0.010964,"2052.318","2017-03-16T12:36:59Z",2017-03-16 12:36:59
"27","16/03/2017","March","2017","LasGralarias","Guzmania squarrosa",2,"28","4","Aglaiocercus coelestis",NA,-78.734556,-0.008509,"1978.429","2017-03-16T14:35:05Z",2017-03-16 14:35:05
"28","16/03/2017","March","2017","LasGralarias","Guzmania jaramilloi",2,"30","4","Colibri",NA,-78.734676,-0.008039,"1965.454","2017-03-16T14:55:06Z",2017-03-16 14:55:06
"29","16/03/2017","March","2017","LasGralarias","Cavendishia grandifolia",1,"32","6","Phaethornis yaruqui",NA,-78.734866,-0.007899,"1957.433","2017-03-16T15:01:58Z",2017-03-16 15:01:58
"30","16/06/2017","June","2017","LasGralarias","Palicourea sodiroi",21,"669","3","Aglaiocercus coelestis","Feeding while hovering for 30'",-78.732199,-0.011536,"1998.948730","2017-06-16T12:27:53Z",2017-06-16 12:27:53
"31","16/06/2017","June","2017","LasGralarias","Tillandsia complanata",1,"724","6","Boissonneaua jardini",NA,-78.732815,-0.011035,"2046.984009","2017-06-16T17:42:49Z",2017-06-16 17:42:49
"32","19/09/2017","September","2017","LasGralarias","Palicourea sodiroi",7,"38","1","Aglaiocercus coelestis","Visita ilegítima",-78.733563,-0.010995,"2042.934570","2017-09-19T13:20:58Z",2017-09-19 13:20:58
"33","20/02/2018","February","2018","LasGralarias","Columnea ciliata",NA,"137","6","Boissonneaua jardini",NA,-78.734551,-0.010168,"2032.531494","2018-02-20T14:16:26Z",2018-02-20 14:16:26
"34","20/03/2018","March","2018","LasGralarias","Glossoloma oblongicalyx",NA,"633","0.5","Heliangelus strophianus",NA,-78.732489,-0.011588,"2051.831299","2018-03-20T13:52:45Z",2018-03-20 13:52:45
"35","20/03/2018","March","2018","LasGralarias","Fuchsia macrostigma",NA,"645","4","Heliodoxa rubinoides",NA,-78.733698,-0.010894,"2055.234619","2018-03-20T14:26:42Z",2018-03-20 14:26:42
"36","22/05/2018","May","2018","LasGralarias","Columnea medicinalis",NA,"66","5","Phaethornis syrmatophorus",NA,-78.730786,-0.010586,"2055.572021","2018-05-22T12:22:02Z",2018-05-22 12:22:02
"37","22/05/2018","May","2018","LasGralarias","Drymonia collegarum",NA,"69","5","Adelomyia melanogenys",NA,-78.730786,-0.010586,"2055.572021","2018-05-22T12:46:57Z",2018-05-22 12:46:57
"38","22/05/2018","May","2018","LasGralarias","Kohleria affinis",NA,"119","4","Small",NA,-78.730786,-0.010586,"2055.572021","2018-05-22T15:35:10Z",2018-05-22 15:35:10
"39","24/04/2018","April","2018","LasGralarias","Palicourea anderssoniana",NA,"893","2","Aglaiocercus coelestis",NA,NA,NA,NA,NA,NA
"40","24/04/2018","April","2018","LasGralarias","Glossoloma penduliflorum",NA,"894","1","Ocreatus underwoodi",NA,NA,NA,NA,NA,NA
"41","24/07/2018","July","2018","LasGralarias","Thibaudia inflata",NA,"380","1","Coeligena wilsoni",NA,-78.734571,-0.008378,"1973.904663","2018-07-24T15:13:02Z",2018-07-24 15:13:02
"42","25/09/2018","September","2018","LasGralarias","Psammisia aberrans",NA,"742","4","Coeligena wilsoni",NA,-78.734634,-0.008827,"1992.131348","2018-09-25T13:57:46Z",2018-09-25 13:57:46
"43","25/09/2018","September","2018","LasGralarias","Burmeistera cyclostigmata",NA,"743","1","Aglaiocercus coelestis",NA,-78.734614,-0.008725,"1988.090210","2018-09-25T14:00:09Z",2018-09-25 14:00:09
"44","25/09/2018","September","2018","LasGralarias","Thibaudia inflata",NA,"743","2","Aglaiocercus coelestis",NA,-78.734614,-0.008725,"1988.090210","2018-09-25T14:00:09Z",2018-09-25 14:00:09
"45","25/09/2018","September","2018","LasGralarias","Guzmania jaramilloi",NA,"746","4","Aglaiocercus coelestis",NA,-78.734585,-0.008346,"1980.709351","2018-09-25T14:12:29Z",2018-09-25 14:12:29
"46","25/09/2018","September","2018","LasGralarias","Burmeistera cyclostigmata",NA,"749","3","Aglaiocercus coelestis",NA,-78.734636,-0.008177,"1978.880371","2018-09-25T14:16:24Z",2018-09-25 14:16:24
"47","27/01/2017","January","2017","Maquipucuna","Renealmia sessilifolia",2,"815","2","Ocreatus underwoodii","",-78.629144,0.106411,"1644.421265","2017-01-27T14:06:56Z",2017-01-27 14:06:56
"48","27/01/2017","January","2017","Maquipucuna","Palicourea demissa",2,"815","4","Ocreatus underwoodii","",-78.629144,0.106411,"1644.421265","2017-01-27T14:06:56Z",2017-01-27 14:06:56
"49","27/01/2017","January","2017","Maquipucuna","Palicourea demissa",12,"857","6","Ocreatus underwoodii","female",-78.62897,0.103214,"1710.865234","2017-01-27T15:02:07Z",2017-01-27 15:02:07
"50","25/02/2017","February","2017","Maquipucuna","Palicourea demissa",2,"1335","6","Ocreatus underwoodii","female",-78.629721,0.106875,"1590.808716","2017-02-25T13:45:32Z",2017-02-25 13:45:32
"51","18/03/2017","March","2017","Maquipucuna","Macleania recumbens",14,"1495","5","Coeligena wilsoni","",-78.62893,0.108101,"1557.326172","2018-03-21T13:06:27Z",2018-03-21 13:06:27
"52","18/03/2017","March","2017","Maquipucuna","Macleania recumbens",15,"1523","2","Ocreatus underwoodii","",-78.629029,0.104437,"1683.514648","2018-03-21T14:28:19Z",2018-03-21 14:28:19
"53","18/03/2017","March","2017","Maquipucuna","Columnea kucyniakii",3,"1558","5","Ocreatus underwoodii","",-78.635293,0.117231,"1366.270020","2018-03-24T12:37:07Z",2018-03-24 12:37:07
"54","4/5/17","May","17","Maquipucuna","Columnea ciliata",1,"1856","2","Phaethornis syrmatophorus","",NA,NA,NA,NA,NA
"55","4/5/17","May","17","Maquipucuna","Palicourea demissa",9,"1894","5","Ocreatus underwoodii","",NA,NA,NA,NA,NA
"56","4/5/17","May","17","Maquipucuna","Palicourea demissa",5,"1911","4","Aglaiocercus coelestis","",NA,NA,NA,NA,NA
"57","5/11/17","November","17","Maquipucuna","Palicourea demissa",24,"509","6","Ocreatus underwoodii","",NA,NA,NA,NA,NA
"58","5/11/17","November","17","Maquipucuna","Palicourea demissa",1,"522","5","Ocreatus underwoodii","male",NA,NA,NA,NA,NA
"59","6/9/17","September","17","Maquipucuna","Palicourea demissa",4,"642","4","Ocreatus underwoodii","",NA,NA,NA,NA,NA
"60","6/9/17","September","17","Maquipucuna","Palicourea demissa",18,"648","4","Aglaiocercus coelestis","female",NA,NA,NA,NA,NA
"61","13/07/2017","July","2017","Maquipucuna","Palicourea demissa",28,"1500","5","Colibri delphinae","",-78.628546,0.108765,"1527.015991","2017-07-13T12:26:23Z",2017-07-13 12:26:23
"62","13/07/2017","July","2017","Maquipucuna","Palicourea demissa",2,"1508","5","Phaethornis yaruqui","heard only",-78.628906,0.10815,"1545.340820","2017-07-13T12:41:53Z",2017-07-13 12:41:53
"63","13/07/2017","July","2017","Maquipucuna","Palicourea demissa",6,"1563","5","Ocreatus underwoodii","male",-78.629437,0.10515,"1657.333984","2017-07-13T14:11:56Z",2017-07-13 14:11:56
"64","13/08/2017","August","2017","Maquipucuna","Columnea mastersonii",4,"1657","5","Phaethornis syrmatophorus","",-78.628552,0.106761,"1616.791626","2018-08-22T14:00:01Z",2018-08-22 14:00:01
"65","13/08/2017","August","2017","Maquipucuna","Heliconia virginalis",2,"1660","3","Thalurania fannyi","male",-78.628861,0.106404,"1632.626831","2018-08-22T14:05:21Z",2018-08-22 14:05:21
"66","13/08/2017","August","2017","Maquipucuna","Columnea picta",2,"1694","5","Phaethornis syrmatophorus","",-78.627559,0.102274,"1711.939331","2018-08-22T15:12:20Z",2018-08-22 15:12:20
"67","13/08/2017","August","2017","Maquipucuna","Palicourea demissa",17,"1706","6","Ocreatus underwoodii","female",-78.63527,0.117188,"1369.342285","2018-08-25T13:07:47Z",2018-08-25 13:07:47
"68","13/08/2017","August","2017","Maquipucuna","Palicourea demissa",3,"1743","4","Ocreatus underwoodii","female",-78.627857,0.102361,"1716.212402","2017-08-13T15:32:15Z",2017-08-13 15:32:15
"69","10/8/17","August","17","Maquipucuna","Besleria solanoides",7,"673","4","Ocreatus underwoodii","female",NA,NA,NA,NA,NA
"70","10/8/17","August","17","Maquipucuna","Besleria solanoides",7,"695","4","Ocreatus underwoodii","female",NA,NA,NA,NA,NA
"71","19/11/2017","November","2017","Maquipucuna","Psammisia aberrans",107,"1639","7","Ocreatus underwoodii","female",-78.629568,0.106948,"1592.823486","2017-11-19T13:29:53Z",2017-11-19 13:29:53
"72","19/11/2017","November","2017","Maquipucuna","Psammisia aberrans",60,"1670","4","Ocreatus underwoodii","female",-78.62935,0.106269,"1644.282715","2017-11-19T14:13:46Z",2017-11-19 14:13:46
"73","19/11/2017","November","2017","Maquipucuna","Psammisia aberrans",124,"1674","5","Ocreatus underwoodii","female",-78.629455,0.106134,"1647.470215","2017-11-19T14:17:41Z",2017-11-19 14:17:41
"74","19/11/2017","November","2017","Maquipucuna","Cuatresia exiguiflora",6,"1708","4","Ocreatus underwoodii","female",-78.628952,0.103672,"1698.949829","2017-11-19T14:48:20Z",2017-11-19 14:48:20
"75","1/12/18","December","18","Maquipucuna","Columnea mastersonii",2,"720","4","Aglaiocercus coelestis","heard only",NA,NA,NA,NA,NA
"76","2/9/18","September","18","Maquipucuna","Columnea ciliata",2,"808","5","Phaethornis syrmatophorus","",NA,NA,NA,NA,NA
"77","2/9/18","September","18","Maquipucuna","Wercklea ferox",5,"814","2","Schistes geoffroyi","",NA,NA,NA,NA,NA
"78","2/9/18","September","18","Maquipucuna","Mezobromelia capituligera",3,"860","5","Heliodoxa rubinoides","",NA,NA,NA,NA,NA
"79","24/04/2018","April","2018","Maquipucuna","Palicourea demissa",22,"1925","4","Phaethornis yaruqui","",-78.628583,0.108738,"1555.699219","2018-04-24T12:32:03Z",2018-04-24 12:32:03
"80","24/04/2018","April","2018","Maquipucuna","Palicourea demissa",18,"1935","5","Ocreatus underwoodii","female",-78.628692,0.107688,"1575.249268","2018-04-24T12:47:43Z",2018-04-24 12:47:43
"81","24/04/2018","April","2018","Maquipucuna","Palicourea demissa",25,"1940","4","Doryfera ludovicae","Can you believe it??",-78.628952,0.107574,"1579.687988","2018-04-24T13:00:27Z",2018-04-24 13:00:27
"82","24/04/2018","April","2018","Maquipucuna","Palicourea demissa",31,"1956","5","Coeligena wilsoni","",-78.628624,0.106489,"1632.546509","2018-04-24T13:40:32Z",2018-04-24 13:40:32
"83","24/04/2018","April","2018","Maquipucuna","Palicourea demissa",15,"1959","4","Urosticte benjamini","",-78.628873,0.106367,"1638.416382","2018-04-24T13:43:43Z",2018-04-24 13:43:43
"84","24/04/2018","April","2018","Maquipucuna","Palicourea demissa",5,"1982","4","Ocreatus underwoodii","female",-78.629027,0.103523,"1699.055176","2018-04-24T14:32:37Z",2018-04-24 14:32:37
"85","24/04/2018","April","2018","Maquipucuna","Palicourea demissa",27,"1987","5","Aglaiocercus coelestis","male",-78.628943,0.103016,"1713.923584","2018-04-24T14:37:49Z",2018-04-24 14:37:49
"86","21/05/2018","May","2018","Maquipucuna","Palicourea demissa",76,"338","6","Florisuga mellivora","male;  I don't think I've ever seen one that deep inside of the forest",-78.629014,0.107796,"1525.733643","2018-05-21T13:40:36Z",2018-05-21 13:40:36
