"","site","final_plant_name"
"1","Alaspungo","Drymonia aff teuscheri"
"2","Alaspungo","Blakea sp"
"3","Alaspungo","Sphyrospermum sp2"
"4","Alaspungo_disturbed","Burmeistera consultar"
"5","Alaspungo_disturbed","Blakea sp"
"6","Alaspungo_disturbed","Burmeistera sp3"
"7","Alaspungo_disturbed","Drymonia aff. teuscheri"
"8","Alaspungo_disturbed","Burmeistera sp1"
"9","Cambugan","Salvia sp1"
"10","Cambugan","Glossoloma collegarum"
"11","Cambugan","Passiflora"
"12","Cambugan","Besleria sp1"
"13","Cambugan","Burmeistera sp1"
"14","Cambugan","Fuchsia sp1"
"15","Cambugan","Tropaeolum sp1"
"16","Cambugan","Centropogon sp1"
"17","Cambugan","Passiflora sp1"
"18","Cambugan","Palicourea sp1"
"19","Cambugan","Centropogon sp2"
"20","LasGralarias","Mezobromelia aff. capituligera"
"21","LasGralarias","Podandrogyne nanegalensis"
"22","LasGralarias","Palicourea sp3"
"23","LasGralarias","Gasteranthus sp4"
"24","LasGralarias","Meriania sp1"
"25","LasGralarias","Columnea aff picta"
"26","LasGralarias","Hillia sp1"
"27","LasGralarias","Renealmia sp2"
"28","LasGralarias","Guzmania sp7"
"29","LasGralarias","Bromelia sp4"
"30","LasGralarias","Bromelia sp5"
"31","LasGralarias","Heliconia sp3"
"32","LasGralarias","Guzmania sp8"
"33","LasGralarias","Lycianthes sp1"
"34","LasGralarias","Columnea affin picta"
"35","LasGralarias","Guzmania sp"
"36","LasGralarias","Burmeistera sodiroi"
"37","Maquipucuna","Blakea quadrifolia"
"38","Maquipucuna","Costus sp 1"
"39","Maquipucuna","Guzmania sp 8"
"40","Maquipucuna","Erythrina sp 1"
"41","Maquipucuna","Solanaceae sp 2"
"42","Maquipucuna","Heliconia sp1"
"43","Maquipucuna","Mikania sp"
"44","MashpiCapuchin","Pitcairnia sp2"
"45","MashpiCapuchin","Kohleria sp3"
"46","MashpiCapuchin","Siparuna sp1"
"47","MashpiCapuchin","Pitcairnia sp3"
"48","MashpiCapuchin","Tristerix sp1"
"49","MashpiCapuchin","Kohleria sp2"
"50","MashpiCapuchin","Thibaudia sp2"
"51","MashpiCapuchin","Guzmania sp4"
"52","MashpiCapuchin","Burmeistera sp2"
"53","MashpiCapuchin","Rubiaceae sp1"
"54","MashpiCapuchin","Pitcairnia sp1"
"55","MashpiCapuchin","Besleria sp1"
"56","MashpiCapuchin","Aphelandra sp1"
"57","MashpiCapuchin","Palicourea sp4"
"58","MashpiCapuchin","Columnea sp9"
"59","MashpiCapuchin","Thibaudia sp3"
"60","MashpiCapuchin","Palicourea sp8"
"61","MashpiCapuchin","Palicourea sp5"
"62","MashpiCapuchin","Burmeistera sp6"
"63","MashpiCapuchin","Psychothria sp1"
"64","MashpiCapuchin","Guzmania sp5"
"65","MashpiCapuchin","Gurania sp"
"66","MashpiCapuchin","Palicourea sp9"
"67","MashpiCapuchin","Columnea aff picta"
"68","MashpiCapuchin","Heliconia sp4"
"69","MashpiCapuchin","Bromelia sp"
"70","MashpiCapuchin","Nomopyle sp"
"71","MashpiCapuchin","Renealmia sp"
"72","MashpiCapuchin","Drymonia sp"
"73","MashpiLaguna","Guzmania sp3"
"74","MashpiLaguna","Pitcairnia sp3"
"75","MashpiLaguna","Aphelandra sp1"
"76","MashpiLaguna","Palicourea sp6"
"77","MashpiLaguna","Palicourea sp4"
"78","MashpiLaguna","Columnea sp11"
"79","MashpiLaguna","Palicourea sp7"
"80","MashpiLaguna","Acnistus sp1"
"81","MashpiLaguna","Drymonia sp1"
"82","MashpiLaguna","Columnea sp9"
"83","MashpiLaguna","Gesneriaceae sp9"
"84","MashpiLaguna","Markea sp3"
"85","MashpiLaguna","Burmeistera sp2"
"86","MashpiLaguna","Pitcairnia sp4"
"87","MashpiLaguna","Palicourea sp3"
"88","MashpiLaguna","Miconia peque rosada"
"89","MashpiLaguna","Palicourea blanca frangans"
"90","MashpiLaguna","Palicourea novia"
"91","MashpiLaguna","Markea sp2"
"92","MashpiLaguna","Columnea bracteas rojas"
"93","MashpiLaguna","Glossoloma sp4"
"94","MashpiLaguna","Guzmania flor negra"
"95","MashpiLaguna","Psychotria sp1"
"96","MashpiLaguna","Palicourea amarilla"
"97","MashpiLaguna","Guzmania sp"
"98","MashpiLaguna","Psychotria sp"
"99","MashpiLaguna","Pitcairnia sp"
"100","MashpiLaguna","Palicourea sp"
"101","MashpiLaguna","Columnea amarilla"
"102","MashpiLaguna","Clusia"
"103","MashpiLaguna","Columnea sp"
"104","MashpiLaguna","Calathea blanca"
"105","MashpiLaguna","Sphyrospermum largo"
"106","MashpiLaguna","Podandrogyne nanegalensis"
"107","MashpiLaguna","Clusia roja"
"108","MashpiLaguna","Columnea tomate"
"109","Sachatamia","Thibaudia indt"
"110","Sachatamia","Palicourea sp4"
"111","Sachatamia","Palicourea sp8"
"112","Sachatamia","Markea sp1"
"113","Sachatamia","Hydrangea sp1"
"114","Sachatamia","Miconia sp"
"115","Sachatamia","Heliconia sp4"
