"","site","date","n"
"1","Yanacocha","17/03/2017",167
"2","Alaspungo_disturbed","05/07/2018",160
"3","Cambugan","14/03/2017",118
"4","Cambugan","15/02/2017",104
"5","MashpiLaguna","20/06/2017",74
"6","MashpiCapuchin","22/01/2018",66
"7","LasGralarias",NA,65
"8","SantaLuciaLower","17/10/2017",63
"9","MashpiCapuchin","20/06/2017",59
"10","Cambugan","16/03/2017",55
"11","MashpiLaguna",NA,55
"12","Sachatamia","19/09/2017",54
"13","UnPocoDelChoco_disturbed","23/12/2017",52
"14","MashpiCapuchin","21/03/2018",51
"15","LasGralarias","18/07/2017",50
"16","SantaLuciaLower","26/09/2017",46
"17","UnPocoDelChoco","21/12/2017",40
"18","MashpiLaguna","14/11/2017",37
"19","MashpiLaguna","19/07/2017",36
"20","MashpiCapuchin","25/04/2018",23
"21","MashpiCapuchin","22/03/2017",21
"22","MashpiLaguna","21/02/2018",18
"23","Verdecocha","18/03/2017",3
"24","LasGralarias","15/08/2017",2
"25","Sachatamia","19/09/2019",2
"26","Alaspungo_disturbed","13/03/2018",1
"27","Alaspungo_disturbed","16/01/2018",1
"28","LasGralarias","20/03/2018",1
"29","MashpiLaguna","21/09/2017",1
"30","MashpiLaguna","25/04/2018",1
"31","SantaLuciaLower","17/04/2017",1
"32","SantaLuciaLower","19/04/2017",1
"33","UnPocoDelChoco","17/10/2017",1
"34","Yanacocha","09/10/2017",1
