"","site","final_plant_name"
"1","Alaspungo_disturbed","Blakea sp"
"2","Alaspungo","Centropogon sp3"
"3","Alaspungo","Blakea sp1"
"4","Alaspungo","Begonia sp1"
"5","Alaspungo","Glossoloma sp5"
"6","Alaspungo","-"
"7","Amagusa","Heliconia virginalis"
"8","Amagusa","Psychotria mashpi"
"9","Amagusa","Costus pulverulentus"
"10","Amagusa","Glossoloma subglabrum"
"11","Amagusa","Renealmia sp"
"12","Amagusa","Drymonia blanca brácteas moradas"
"13","Amagusa","Columnea aff picta2"
"14","Amagusa","Revisar sp"
"15","Amagusa","Rubus sp"
"16","Amagusa","Palicourea sp"
"17","Amagusa","Heliconia sp"
"18","Cambugan","Lamiaceae sp1"
"19","Cambugan","Centropogon sp2"
"20","Cambugan","Palicourea sp1"
"21","LasGralarias","Na"
"22","LasGralarias","Columnea aff picta 2"
"23","LasGralarias","Columnea aff picta "
"24","LasGralarias","Mezobromelia danielii"
"25","LasGralarias","Justicia gral"
"26","LasGralarias","Capsicum sp"
"27","LasGralarias","Pitcairnia sp5"
"28","LasGralarias","Bromelia sp4"
"29","LasGralarias","Justicia sp2"
"30","Maquipucuna","Erythrina sp1"
"31","Maquipucuna","Heliconia sp"
"32","Maquipucuna","Podandrogyne sp1"
"33","Maquipucuna","Mikania sp"
"34","Maquipucuna","Tournefortia sp"
"35","MashpiCapuchin","Psamissia ulbrichiana"
"36","MashpiCapuchin","Lost images"
"37","MashpiCapuchin","Burmeistera sp2"
"38","MashpiCapuchin","Sp indt"
"39","MashpiCapuchin","Tristerix sp1"
"40","MashpiCapuchin","Melastomataceae sp3"
"41","MashpiCapuchin","Psychotria sp1"
"42","MashpiCapuchin","Pitcairnia sp5"
"43","MashpiCapuchin","Na"
"44","MashpiCapuchin","Costus nuevo mspc"
"45","MashpiCapuchin","Blakea sp"
"46","MashpiLaguna","Na"
"47","MashpiLaguna","Pitcairnia sp4"
"48","MashpiLaguna","Columnea sp11"
"49","MashpiLaguna","Burmeistera sp2"
"50","MashpiLaguna","Psychotria mashpi"
"51","MashpiLaguna","Anthopterus verticillatus"
"52","MashpiLaguna","Palicourea blanca"
"53","MashpiLaguna","Columnea sp12"
"54","MashpiLaguna","Clusia sp1"
"55","MashpiLaguna","Rubiaceae sp nueva"
"56","MashpiLaguna","Melastomtacea nueva-miconia peque rosada"
"57","MashpiLaguna","Psychothria blanca sp"
"58","MashpiLaguna","Aposinacea sp"
"59","MashpiLaguna","Sp por identificar"
"60","MashpiLaguna","Siparuna sp1"
"61","Puyucunapi","Miconia sp"
"62","Puyucunapi","-"
"63","Puyucunapi","Impatiens walleriana"
"64","Puyucunapi","Clusia sp"
"65","Puyucunapi","Psychotria sp puyu"
"66","Rumisitana","Columnea affpicta cf. picta"
"67","Rumisitana","Tupirosa"
"68","Rumisitana","Rubus sp"
"69","Rumisitana","Flor roja jardín"
"70","Rumisitana","Heliconia sp"
"71","Sachatamia_disturbed","-"
"72","Sachatamia_disturbed","Pitcairnia sp"
"73","Sachatamia_disturbed","Bomarea sp2"
"74","Sachatamia","Bomarea sp2"
"75","Sachatamia","Drymonia brochidodroma"
"76","Sachatamia","Solanum sp1"
"77","Sachatamia","Trianaea nobilis"
"78","Sachatamia","Capsicum sp1"
"79","Sachatamia","Sp indt"
"80","Sachatamia","Ronnbergia deleonii"
"81","Sachatamia","Columnea ciliata"
"82","Sachatamia","Cuatresia harlingiana"
"83","Sachatamia","Sobralia gloriosa"
"84","SantaLuciaLower","Podandrogyne sp1"
"85","SantaLuciaLower","Erythrina sp1"
"86","SantaLuciaLower","Fabaceae sp"
"87","SantaLuciaLower","Gesnericaceae"
"88","SantaLuciaLower","Abutilon sp"
"89","SantaLuciaLower","Pachycaulos nummularium"
"90","SantaLuciaLower","Burmeistera pterofolia"
"91","SantaLuciaLower","Epidendrum sp"
"92","SantaLuciaLower","Elleanthus sp1"
"93","SantaLuciaLower","Psammisia sp"
