"","site","final_plant_name"
"1","Alaspungo_disturbed","Blakea sp"
"2","Alaspungo_disturbed","Psychotria sp"
"3","Alaspungo_disturbed","Tillandsia sp"
"4","Alaspungo_disturbed","Fuchsia sp"
"5","Alaspungo_disturbed","Centropogon sp1"
"6","Alaspungo_disturbed","Cestrum sp2"
"7","Alaspungo_disturbed","Rubus sp"
"8","Alaspungo_disturbed","Psammsia grande"
"9","Alaspungo_disturbed","Ericaceae pupi"
"10","Alaspungo_disturbed","Burmeistera foto"
"11","Alaspungo","Blakea sp1"
"12","Alaspungo","Miconia hymenanthera"
"13","Alaspungo","Epidendrum mesogastropodium"
"14","Alaspungo","Psammisia sodiroi"
"15","Alaspungo","Macleania loeseneriana"
"16","Alaspungo","Centropogon sp3"
"17","Alaspungo","Aphelandra acanthus"
"18","Alaspungo","Lycianthes sp1"
"19","Alaspungo","Palicourea amethystina"
"20","Alaspungo","Begonia sp1"
"21","Alaspungo","Glossoloma sp5"
"22","Amagusa","-"
"23","Amagusa","Psychotria mashpi"
"24","Amagusa","Palicourea sp amarilla"
"25","Amagusa","Glossoloma scabrum"
"26","Amagusa","Palicourea sp1"
"27","Amagusa","Canna jaegeriana"
"28","Amagusa","Psychothria blanca"
"29","Amagusa","Columnea aff picta2"
"30","Amagusa","Costus pulverulentus"
"31","Amagusa","Bomarea sp"
"32","Amagusa","Melastomataceae sp1"
"33","Amagusa","Macrocarpea sp"
"34","Amagusa","Miconia sp"
"35","Amagusa","Heliconia aff virginalis"
"36","Amagusa","Blakea 1"
"37","Amagusa","Clusia sp"
"38","Amagusa","Rubiaceae blanca (no psychotria)"
"39","Amagusa","Renealmia sp"
"40","Amagusa","Col aff picta 2"
"41","Amagusa","Notopleura sp1"
"42","Cambugan","Salvia sp1"
"43","Cambugan","Glossoloma collegarum"
"44","Cambugan","Psamisia affinis"
"45","Cambugan","Besleria sp1"
"46","Cambugan","Sp1"
"47","Cambugan","Burmeistera sp1"
"48","Cambugan","Fuchsia sp1"
"49","Cambugan","Tropaeolum sp1"
"50","Cambugan","Centropogon sp1"
"51","Cambugan","Passiflora sp1"
"52","Cambugan","Palicourea sp1"
"53","Cambugan","Centropogon sp2"
"54","LasGralarias","Pitcairnia sp5"
"55","LasGralarias","Bromelia sp4"
"56","LasGralarias","Elleanthus sp2"
"57","LasGralarias","Guzmania sp8"
"58","LasGralarias","Capsicum sp"
"59","LasGralarias","Blakea blanca"
"60","Maquipucuna"," Sp 3"
"61","Maquipucuna","Tillandsia sp1"
"62","Maquipucuna","Erythrina sp1"
"63","Maquipucuna","Heliconia sp1"
"64","Maquipucuna","Mikania sp"
"65","Maquipucuna","Columnea affpicta"
"66","Maquipucuna","Costus sp1"
"67","MashpiCapuchin","Tristerix sp1"
"68","MashpiCapuchin","Anthopterus wardii "
"69","MashpiCapuchin","Burmeistera sp2"
"70","MashpiCapuchin","Psychotria sp1"
"71","MashpiCapuchin","Palicourea sp4"
"72","MashpiCapuchin","Calathea sp3"
"73","MashpiCapuchin","Hippotis sp"
"74","MashpiCapuchin","Drymona sp10"
"75","MashpiCapuchin","Burmeistera sp3"
"76","MashpiCapuchin","Faramea sp3"
"77","MashpiCapuchin","Drymonia sp4"
"78","MashpiCapuchin","Tillandsia sp5"
"79","MashpiCapuchin","Notopleura sp1"
"80","MashpiCapuchin","Costus sp3 mspc"
"81","MashpiCapuchin","Miconia sp1"
"82","MashpiCapuchin","Blakea sp2 mspc"
"83","MashpiCapuchin","Rubiaceae sp3"
"84","MashpiCapuchin","Blakea sp"
"85","MashpiLaguna","Columnea sp11"
"86","MashpiLaguna","Faramea mspl"
"87","MashpiLaguna","Clusia sp1"
"88","MashpiLaguna","Psychotria mashpi"
"89","MashpiLaguna","Palicourea blanca frangans"
"90","MashpiLaguna","Pitcairnia sp4"
"91","MashpiLaguna","Burmeistera sp2"
"92","MashpiLaguna","Miconia peque rosada"
"93","MashpiLaguna","Bignona sp1"
"94","MashpiLaguna","Columnea sp12"
"95","MashpiLaguna","Columnea eburnea"
"96","MashpiLaguna","Rubiaceae blanca nueva"
"97","MashpiLaguna","Elleanthus morado"
"98","MashpiLaguna","Costus sp2"
"99","MashpiLaguna","Faramea blanca"
"100","MashpiLaguna","Palicourea sp4"
"101","MashpiLaguna","Psychotria blanca nueva"
"102","MashpiLaguna","Glossoloma sprucei"
"103","MashpiLaguna","Paradrymonia splendens"
"104","MashpiLaguna","Costus pulverulentus"
"105","MashpiLaguna","Besleria solanoides"
"106","Puyucunapi","Elleanthus aurantiacus "
"107","Puyucunapi","Columnea sp1"
"108","Puyucunapi","Capsicum sp"
"109","Puyucunapi","Guzmania sp7"
"110","Puyucunapi","Elleanthus sp"
"111","Puyucunapi","Miconia sp"
"112","Puyucunapi","Heliconia sp"
"113","Puyucunapi","Elleanthus aff robustus"
