"","site","date","n"
"1","Sachatamia",NA,291
"2","Sachatamia","2018-02-20",212
"3","Sachatamia","2018-01-22",209
"4","Alaspungo_disturbed","43290",192
"5","Alaspungo_disturbed","43172",191
"6","Cambugan","14/03/2017",186
"7","Yanacocha_disturbed","2018-02-08",166
"8","Alaspungo_disturbed","43227",165
"9","Yanacocha_disturbed","2018-12-03",158
"10","Alaspungo_disturbed","11/03/2019",153
"11","MashpiCapuchin","24/03/2019",147
"12","Cambugan","15/02/2017",140
"13","Yanacocha_disturbed","2019-02-05",138
"14","Puyucunapi","2018-12-17",136
"15","Yanacocha_disturbed","2019-04-11",136
"16","Yanacocha_disturbed","2018-10-05",131
"17","Yanacocha_disturbed","2018-06-04",129
"18","Yanacocha_disturbed","2018-04-05",121
"19","Alaspungo_disturbed","43479",119
"20","Yanacocha_disturbed","2018-08-09",117
"21","MashpiLaguna","23/08/2018",115
"22","Alaspungo_disturbed","43116",113
"23","Alaspungo_disturbed","43409",109
"24","Puyucunapi","2018-04-23",109
"25","Puyucunapi","2018-02-20",107
"26","Alaspungo_disturbed","43353",105
"27","Puyucunapi","2018-10-23",104
"28","MashpiLaguna","16/10/2018",100
"29","Puyucunapi","2017-12-27",98
"30","Puyucunapi","2019-02-18",98
"31","Rumisitana","43421",97
"32","UnPocoDelChoco_disturbed","23/12/2017",93
"33","Cambugan","16/03/2017",91
"34","Amagusa","2018-09-27",87
"35","SantaLuciaLower","01/04/2019",87
"36","Amagusa","2018-03-06",86
"37","MashpiLaguna","25/04/2018",86
"38","SantaLuciaLower","17/10/2017",86
"39","Sachatamia","2018-04-24",85
"40","Yanacocha","17/03/2017",83
"41","Amagusa","2019-01-21",80
"42","MashpiLaguna","23/05/2018",78
"43","Sachatamia","2018-06-25",78
"44","Rumisitana","43484",75
"45","Puyucunapi","2018-06-25",73
"46","Amagusa","2019-03-25",70
"47","Sachatamia","2018-11-20",69
"48","Sachatamia","2018-05-22",68
"49","Sachatamia","2017-12-12",67
"50","SantaLuciaUpper","02/04/2019",65
"51","Rumisitana","43120",63
"52","Puyucunapi","2018-08-16",62
"53","Sachatamia_disturbed","2017-12-28",61
"54","Amagusa","2018-07-25",60
"55","Sachatamia","2018-07-23",60
"56","Sachatamia","2018-09-25",60
"57","LasGralarias","43550",59
"58","Amagusa","2018-11-19",58
"59","Sachatamia","2018-03-20",58
"60","SantaLuciaLower","26/09/2017",56
"61","MashpiCapuchin","21/01/2019",54
"62","Rumisitana","43359",53
"63","UnPocoDelChoco","21/12/2017",52
"64","Sachatamia","2019-03-26",47
"65","LasGralarias","20/11/2018",46
"66","Sachatamia","2018-08-15",46
"67","Sachatamia","2018-10-22",46
"68","UnPocoDelChoco_disturbed","31/8/2018",46
"69","Maquipucuna","23/04/2019",45
"70","Sachatamia_disturbed","2019-02-19",43
"71","Sachatamia","2017-11-13",41
"72","Sachatamia_disturbed","2018-12-18",39
"73","Sachatamia","2018-12-20",37
"74","Rumisitana","43169",32
"75","Amagusa","2018-05-23",31
"76","Sachatamia_disturbed","2018-06-26",31
"77","Sachatamia_disturbed","2018-02-21",30
"78","MashpiCapuchin","22/03/2017",29
"79","Sachatamia_disturbed","2018-10-22",22
"80","MashpiLaguna","21/02/2018",19
"81","Rumisitana","43235",18
"82","Puyucunapi",NA,17
"83","Sachatamia_disturbed","2018-08-15",13
"84","Sachatamia_disturbed","2018-04-24",11
"85","MashpiLaguna","19/11/2018",8
"86","Verdecocha","18/03/2017",5
"87","LasGralarias","22/10/2018",3
"88","Verdecocha","05/02/2019",3
"89","Yanacocha","09/10/2017",3
"90","LasGralarias","15/08/2017",1
"91","LasGralarias","20/03/2018",1
"92","MashpiLaguna","19/07/2017",1
"93","MashpiLaguna","21/09/2017",1
"94","Rumisitana","17/03/2019",1
"95","Sachatamia","2018-12-21",1
"96","Sachatamia","2018-12-22",1
"97","Sachatamia","2018-12-23",1
"98","SantaLuciaLower","20/03/2019",1
"99","UnPocoDelChoco","17/10/2017",1
"100","UnPocoDelChoco","20/08/2018",1
"101","UnPocoDelChoco","25/11/2017",1
"102","Verdecocha","11/11/2018",1
"103","Yanacocha","05/10/2018",1
"104","Yanacocha","06/05/2017",1
"105","Yanacocha","07/02/2018",1
"106","Yanacocha","09/08/2017",1
"107","Yanacocha","7/03/2019",1
